isbn,num_ratings,avg_rating,title,author,primary_genre,coverImg,book_avg_rating
0060090383,18,7.61,rachel's holiday,marian keyes,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407709261l/9301.jpg,3.96
0060917016,18,8.28,homeland and other stories,barbara kingsolver,Short Stories,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401929008l/77264.jpg,3.82
0802135226,18,8.33,the passion,jeanette winterson,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388187737l/15047.jpg,4.11
0804113475,18,7.28,ladder of years,anne tyler (goodreads author),Classics,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388451272l/202948.jpg,3.72
0553379615,18,8.39,into the forest,jean hegland (goodreads author),Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479868647l/86236.jpg,3.81
0671702513,18,7.44,the prize,julie garwood (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1304789713l/107772.jpg,4.22
055329024X,17,8.41,earth,david brin (goodreads author),Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347288634l/96471.jpg,3.92
0446522597,17,7.71,the winner,david baldacci (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347754561l/113138.jpg,4.08
0425100650,17,7.41,twilight eyes,dean koontz (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1223638154l/693172.jpg,3.89
0451210638,17,7.24,a case of need,jeffery hudson (pseudonym),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327963749l/7663.jpg,3.72
0843949945,17,7.59,dark guardian,christine feehan (goodreads author),Horror,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327896501l/94813.jpg,4.35
0061099708,17,7.76,colony,anne rivers siddons,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349057975l/95226.jpg,4.07
0425184234,17,7.47,a small death in lisbon,robert wilson (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396100616l/368250.jpg,3.89
0064404773,17,9.12,beauty: a retelling of the story of beauty and the beast,robin mckinley,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1294192311l/41424.jpg,4.05
0061096083,17,7.35,the bestseller,olivia goldsmith,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1179751420l/951242.jpg,3.83
0689818769,17,8.76,frindle,andrew clements,Young Adult,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344395824l/439173.jpg,3.82
0380808072,17,7.29,first lady,susan elizabeth phillips (goodreads author),Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389661635l/156563.jpg,3.97
0553284118,17,8.12,creature,john saul,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388847241l/6562.jpg,3.84
0380014300,17,8.06,nine princes in amber,roger zelazny,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416090973l/92121.jpg,4.06
0380713802,17,8.18,neither here nor there: travels in europe,bill bryson,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388187396l/27.jpg,3.86
0316346624,17,8.88,the tipping point: how little things can make a big difference,malcolm gladwell,Self Help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473396980l/2612.jpg,3.97
0312979975,17,8.41,fantasy lover,sherrilyn kenyon (goodreads author),Horror,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348332807l/84136.jpg,4.16
0451160312,17,8.06,i never promised you a rose garden,hannah green,Self Help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309209871l/45220.jpg,3.87
0553268929,17,7.82,the great santini,pat conroy,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442599829l/85448.jpg,4.14
0821772953,17,7.35,the morning after,lisa jackson (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388183079l/379095.jpg,4.09
0449225151,17,7.47,a place called freedom,ken follett (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320559980l/825509.jpg,3.96
0743423682,17,7.29,hollywood wives - the new generation,jackie collins,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348040192l/152405.jpg,3.87
0440209412,17,8.18,message from nam,danielle steel,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338388165l/63580.jpg,4.07
0553290789,17,7.88,genuine lies,nora roberts (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320521587l/114135.jpg,3.96
0553379011,17,7.76,the story of b,daniel quinn,Self Help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403169485l/214579.jpg,4.12
0553581023,17,7.53,follow the stars home,luanne rice (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320475566l/328469.jpg,4.08
0062516590,16,8.75,"the legacy of luna: the story of a tree, a woman, and the struggle to save the redwoods",julia butterfly hill,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411269718l/7803.jpg,3.96
0064400565,16,8.75,stuart little,e.b. white,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552655131l/138959.jpg,3.9
044023574X,16,7.06,after the fire,belva plain,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348393933l/16745.jpg,3.79
0743448642,16,7.88,whispers and lies,joy fielding,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389924062l/244474.jpg,3.69
014034893X,16,8.12,"roll of thunder, hear my cry",mildred d. taylor,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388345167l/310459.jpg,3.84
0684849690,16,7.44,the secret diary of anne boleyn,robin maxwell (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438226078l/31089.jpg,3.81
0385475713,16,7.94,alias grace,margaret atwood (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298545436l/72579.jpg,4.03
043912042X,16,7.88,esperanza rising,pam muñoz ryan,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328869043l/89763.jpg,3.98
0380792648,16,7.56,subterranean,james rollins (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336889308l/98807.jpg,4.01
0380711524,16,7.62,see jane run,joy fielding,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441730463l/253993.jpg,3.92
0385721676,16,8.0,oryx and crake,margaret atwood (goodreads author),Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494109986l/46756.jpg,4.01
0553272586,16,8.25,farewell to manzanar: a true story of japanese american experience during and after the world war ii internment,jeanne wakatsuki houston,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481673039l/649361.jpg,3.62
0345453743,16,8.88,the ultimate hitchhiker's guide to the galaxy,douglas adams,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404613595l/13.jpg,4.36
051511605X,16,7.19,undue influence,steve martini,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348445773l/2427.jpg,4.03
0679744479,16,7.75,written on the body,jeanette winterson,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924844l/15054.jpg,4.07
0345298349,16,7.38,gorky park,martin cruz smith,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390189430l/762806.jpg,4.04
0671741039,16,9.38,swan song,robert r. mccammon,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445981000l/11557.jpg,4.28
0671689746,16,7.5,sweet liar,jude deveraux,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349064597l/251972.jpg,4.09
0061006629,16,7.0,fatherland,robert harris (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1261912137l/56842.jpg,3.98
0060987324,16,7.31,girlfriend in a coma,douglas coupland (goodreads author),Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921543l/3384.jpg,3.61
0553373803,16,8.56,the fifth sacred thing,starhawk (goodreads author),Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388674286l/80689.jpg,4.16
0446612731,16,7.88,the black echo,michael connelly (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344265342l/32508.jpg,4.1
0805056645,16,7.06,are you somebody?: the accidental memoir of a dublin woman,nuala o'faolain,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441306959l/240188.jpg,3.56
0786885416,16,7.38,the hungry ocean: a swordboat captain's journey,linda greenlaw,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442500712l/173165.jpg,3.81
0553575090,16,7.94,deception on his mind,elizabeth george (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1326459323l/31366.jpg,4.05
1580628362,15,7.53,please stop laughing at me... one woman's inspirational story,jodee blanco,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420925136l/18931.jpg,3.85
0060086246,15,7.87,last chance saloon,marian keyes,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407708818l/9298.jpg,3.81
0811808173,15,8.27,the tattooed map,barbara hodgson,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442096366l/760599.jpg,3.76
042514545X,15,7.27,fool's puzzle,earlene fowler,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564832789l/105490.jpg,3.96
0425174484,15,8.07,"expecting adam: a true story of birth, rebirth, and everyday magic",martha n. beck (goodreads author),Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388238845l/349504.jpg,3.82
0345338545,15,8.73,follow the river,james alexander thom,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387651947l/138872.jpg,4.22
0553582917,15,8.33,intensity,dean koontz (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308458213l/32439.jpg,4.04
0375708111,15,8.33,"the elegant universe: superstrings, hidden dimensions, and the quest for the ultimate theory",brian greene,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430864039l/771.jpg,4.07
0515135216,15,8.07,dark symphony,christine feehan (goodreads author),Horror,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388183080l/163294.jpg,4.18
0515128015,15,7.8,eclipse bay,jayne ann krentz (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309287801l/186915.jpg,3.86
0515131091,15,8.07,out of this world,j.d. robb (goodreads author) (contributor),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388246171l/30280.jpg,4.08
051513175X,15,8.0,the descent,jeff long,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388280312l/239065.jpg,3.96
0349105715,15,7.87,complicity,iain banks,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328396807l/12014.jpg,3.86
0553295276,15,7.33,beauty,sheri s. tepper,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388729869l/387339.jpg,3.83
0061031321,15,8.4,thief of time,terry pratchett,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388177603l/48002.jpg,4.23
0345381432,15,7.93,dreaming in cuban,cristina garcía,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320409516l/77092.jpg,3.69
0345327861,15,8.0,crystal singer,anne mccaffrey,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403186691l/653711.jpg,4.1
078670621X,15,8.47,endurance: shackleton's incredible voyage,alfred lansing,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391329559l/139069.jpg,4.39
037576092X,15,8.13,autobiography of a fat bride: true tales of a pretend adulthood,laurie notaro (goodreads author),Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924369l/7530.jpg,3.97
0380756250,15,7.2,once a princess,johanna lindsey,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1268443278l/419280.jpg,4.08
0345326490,15,7.73,desert solitaire,edward abbey,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1399583343l/214614.jpg,4.22
0345316002,15,7.67,killashandra,anne mccaffrey,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427331953l/238961.jpg,4.04
0380753014,15,7.93,warrior's woman,johanna lindsey,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1277005901l/763774.jpg,4.01
0449205878,15,7.8,poland,james a. michener,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390946842l/769896.jpg,4.01
0385491026,15,8.73,cat's eye,margaret atwood (goodreads author),Young Adult,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207977l/51019.jpg,3.92
0743477081,15,7.33,forever and always,jude deveraux,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404151165l/105612.jpg,3.82
0375724443,15,8.07,ava's man,rick bragg,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320441819l/108067.jpg,4.24
0671744208,15,8.27,castles,julie garwood (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418609208l/107775.jpg,4.13
0385334923,15,7.6,tulip fever,deborah moggach (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390601377l/72872.jpg,3.51
0380715929,15,7.6,mother earth father sky,sue harrison (goodreads author),Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387739338l/1047507.jpg,3.97
0441328091,15,8.6,the hero and the crown,robin mckinley,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386642407l/77366.jpg,4.21
0439324599,15,7.8,cut,patricia mccormick,Self Help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348218940l/662597.jpg,3.76
0887308589,15,8.2,"the dilbert principle: a cubicle's-eye view of bosses, meetings, management fads & other workplace afflictions",scott adams,Self Help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405204396l/85574.jpg,3.93
0763618292,15,7.93,witch child,celia rees (goodreads author),Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389898233l/803120.jpg,3.8
0440212812,15,7.2,lost souls,poppy z. brite (goodreads author),Horror,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420793346l/452244.jpg,3.9
1563898586,15,7.53,"the league of extraordinary gentlemen, vol. 1",alan moore (goodreads author),Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552295653l/297627.jpg,3.94
0842314296,15,8.47,hinds' feet on high places,hannah hurnard,Religion & Spirituality,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312284337l/821056.jpg,4.31
0061054437,15,7.2,waking the moon,elizabeth hand,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266472655l/102885.jpg,3.85
0440226406,15,7.6,legacy of silence,belva plain,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403180497l/880386.jpg,3.92
0440226686,14,7.36,blood and chocolate,annette curtis klause,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434755939l/30324.jpg,3.78
0812968379,14,8.79,funny in farsi: a memoir of growing up iranian in america,firoozeh dumas,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411923160l/46349.jpg,3.81
0812580346,14,7.79,flashforward,robert j. sawyer (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393745881l/337132.jpg,3.62
0440237556,14,8.71,the dark highlander,karen marie moning (goodreads author),Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521970950l/112755.jpg,4.29
0451451538,14,7.64,vampire$,john steakley,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309212607l/843588.jpg,3.77
0451452615,14,7.0,bored of the rings: a parody of j.r.r. tolkien's lord of the rings,the harvard lampoon,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309287397l/15348.jpg,3.13
0440167531,14,7.29,palomino,danielle steel,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391324941l/864778.jpg,3.85
0345412214,14,7.36,the last don,mario puzo,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436903416l/364089.jpg,3.84
0345334310,14,8.36,the ship who sang,anne mccaffrey,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355931323l/203288.jpg,4.02
0679805273,14,9.14,"oh, the places you'll go!",dr. seuss,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421708635l/191139.jpg,4.35
0345440781,14,7.0,the redemption of althalus,david eddings,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403185455l/110692.jpg,3.84
0380811065,14,8.07,lady sophia's lover,lisa kleypas (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348288082l/197743.jpg,3.95
0380820846,14,8.21,romancing mister bridgerton,julia quinn (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1274211494l/110384.jpg,4.18
0385315147,14,8.29,smilla's sense of snow,peter høeg,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485595488l/124509.jpg,3.74
0385334206,14,7.21,breakfast of champions,kurt vonnegut jr.,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327934446l/4980.jpg,4.07
0451187849,14,8.93,we the living,ayn rand,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306188481l/668.jpg,3.92
0380729342,14,7.14,tales from watership down,richard adams,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414437969l/456920.jpg,3.8
0312289510,14,7.93,the christmas shoes,donna vanliere (goodreads author),Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434144615l/42172.jpg,4.24
0380750872,14,7.29,secret fire,johanna lindsey,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354850018l/412935.jpg,4.02
0679776591,14,8.29,fugitive pieces,anne michaels,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327866798l/15836.jpg,3.94
0393315606,14,7.43,morality play,barry unsworth,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348373716l/883995.jpg,3.75
0743418719,14,8.07,salem falls,jodi picoult (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344397557l/10915.jpg,3.82
0380017601,14,7.29,love story,erich segal,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388812297l/73968.jpg,3.62
0553572393,14,7.93,green mars,kim stanley robinson,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389628152l/77505.jpg,3.94
0375713344,14,8.86,geek love,katherine dunn,Horror,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366699063l/13872.jpg,3.95
0375724834,14,7.36,motherless brooklyn,jonathan lethem,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348254729l/328854.jpg,3.88
0425144372,14,7.64,clear and present danger,tom clancy,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1291440438l/32669.jpg,4.11
0060080841,14,7.93,the stepford wives,ira levin,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554371721l/52350.jpg,3.78
1588720020,14,7.71,crossing over,john edward,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387751500l/946001.jpg,3.9
0786880007,14,7.21,simplify your life: 100 ways to slow down and enjoy the things that really matter,elaine st. james,Self Help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347219177l/830893.jpg,3.81
0061099805,13,7.31,swimming to catalina,stuart woods,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328316571l/6478245.jpg,3.99
0763616052,13,9.0,because of winn-dixie,kate dicamillo (goodreads author),Science & Nature,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456871914l/357664.jpg,4.05
0061092193,13,8.0,men at arms,terry pratchett,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388215150l/400354.jpg,4.36
0061094234,13,8.46,dirt,stuart woods,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1314730795l/35308.jpg,3.89
0452274427,13,8.77,in the time of the butterflies,julia alvarez (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411410276l/11206.jpg,4.14
0449223833,13,7.77,the deep blue good-by,john d. macdonald,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381049326l/269362.jpg,3.91
0450411435,13,7.77,it,stephen king (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334416842l/830502.jpg,4.24
0380811081,13,8.15,again the magic,lisa kleypas (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418771403l/674220.jpg,4.05
0440208149,13,7.77,an acceptable time,madeleine l'engle,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388764061l/24761.jpg,3.81
0312954468,13,8.62,river god,wilbur smith,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388192405l/429138.jpg,4.2
0679767800,13,8.08,the stars my destination,alfred bester,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433671750l/333867.jpg,4.1
0452285186,13,8.38,the book of bunny suicides,andy riley,Science & Nature,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585164289l/58094.jpg,4.05
0380729407,13,7.69,something wicked this way comes,ray bradbury,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409596011l/248596.jpg,3.93
0156010593,13,8.54,all the names,josé saramago,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327955213l/2528.jpg,3.9
0141301066,13,9.08,matilda,roald dahl,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388793265l/39988.jpg,4.32
0689714335,13,9.31,the cat who went to heaven,elizabeth coatsworth,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172629048l/200362.jpg,3.75
068816112X,13,8.92,replay,ken grimwood,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441156728l/341735.jpg,4.16
0743411439,13,7.69,bitterroot,james lee burke,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1314476563l/55028.jpg,3.97
0449208281,13,8.15,the unexpected mrs. pollifax,dorothy gilman,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407611607l/140524.jpg,4.15
0441005837,13,7.69,rose daughter,robin mckinley,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398552029l/8089.jpg,3.77
0441008658,13,8.23,spindle's end,robin mckinley,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308815054l/77368.jpg,3.81
0515094773,13,7.46,vows,lavyrle spencer,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309288127l/772756.jpg,4.08
0553278118,13,7.08,doctors,erich segal,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536114794l/91201.jpg,4.04
0375707425,13,7.23,embers,sándor márai,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344411743l/783505.jpg,3.98
0312291450,13,8.0,if chins could kill: confessions of a b movie actor,bruce campbell,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424560070l/34548.jpg,3.97
0671720147,13,8.62,the vor game,lois mcmaster bujold (goodreads author),Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322571824l/68483.jpg,4.28
0671737600,13,7.08,double standards,judith mcnaught,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351327260l/129615.jpg,3.94
0060981180,13,8.0,mariette in ecstasy,ron hansen,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442710430l/252669.jpg,3.73
0553288202,13,7.62,the fall of hyperion,dan simmons,Horror,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541174620l/77565.jpg,4.21
0345434692,13,7.54,the skies of pern,anne mccaffrey,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388266744l/127566.jpg,4.07
051511331X,13,8.0,november of the heart,lavyrle spencer,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387702292l/685606.jpg,4.05
055323370X,13,8.69,emily of new moon,l.m. montgomery,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563899327l/3562.jpg,4.1
067155302X,13,7.85,harvest,tess gerritsen (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388193515l/40482.jpg,4.11
0446613444,13,8.0,the black ice,michael connelly (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372241876l/24244.jpg,4.09
0553580078,13,7.38,the years of rice and salt,kim stanley robinson,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419079388l/2723.jpg,3.74
0553582895,13,7.85,dark rivers of the heart,dean koontz (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921195l/15760.jpg,3.91
0609804618,13,8.31,our dumb century: the onion presents 100 years of headlines from america's finest news source,scott dikkers (goodreads author) (editor),Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388195124l/579696.jpg,4.18
0786886323,13,8.54,carter beats the devil,glen david gold (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428327514l/4599.jpg,4.09
